name,party,speech
"
Bettina Margarethe Wiesmann",CDU/CSU,"Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und 
Kollegen! Heute schließt sich tatsächlich ein Kreis poli-tischer Bemühungen um mehr Schutz für Kinder und 
Jugendliche vor sexuellem Missbrauch in allen seinen 
Ausprägungen. 2010 haben CDU, SPD, Grüne und FDP nach aufwühlenden Enthüllungen im Hessischen Landtag einen fraktionsübergreifenden Antrag zur Aufarbeitung 
der Missbrauchsfälle an kirchlichen Einrichtungen und 
Reformschulen beschlossen.
Heute, 15 Jahre später, verabschieden ebendiese Par-
teien – zusammen mit unserer Schwesterpartei CSU – ein Gesetz, das das Amt der Unabhängigen Beauftragten für Fragen des sexuellen Kindesmissbrauchs, seine Auf-
gaben und Ausstattung, die Unabhängige Aufarbeitungs-
kommission und den Betroffenenbeirat gesetzlich ver-ankert.
Meine Damen und Herren, es ist ein gutes Gesetz ge-
worden. Dafür danke auch ich den Sachverständigen aus der Anhörung, Ihnen, Frau Staatssekretärin Deligöz, und Ihrem Team aus dem Ministerium, natürlich genauso den 
Berichterstatterkollegen und -kolleginnen Denise Loop 
von den Grünen, Daniel Baldy von der SPD und Katja Adler von der FDP. Sie haben mit Sachkenntnis, politi -
schem Willen und Einsatzbereitschaft dazu beigetragen, dass dies gelingen konnte.
Das Gesetz wird allen, die sich für den Schutz unserer 
Kinder vor sexuellem Missbrauch und damit verbundener 
Ausbeutung einsetzen, helfen, solche Taten zu verhin-
dern, und es wird dazu beitragen, dass Opfer ihre häufig 
lange zurückliegenden Traumata aufarbeiten können. In-
stitutionen, die Angebote für Kinder machen, werden 
durch Schutzkonzepte dafür sorgen, dass die ihnen An-vertrauten nicht Opfer von Macht und sexueller Gewalt 
werden.
Gemeinsam haben wir erreicht, dass Opfer von sexuel-
lem Missbrauch bis zu ihrem 100. Geburtstag – das 
wurde schon gesagt – das Recht auf Akteneinsicht haben. 
Die Unabhängige Beauftragte – auch von mir vielen 
Dank für Ihre Arbeit – wird als politisches Amt gestärkt. Ihre Berichte sowie die der Aufarbeitungskommission 
werden Kirchen, Sportverbände, Bildungsinstitutionen 
und viele private Träger von Angeboten für Kinder zur institutionellen Aufarbeitung und zu Schutzkonzepten 
nötigenfalls anhalten und sie dabei unterstützen. Das ist 
ein großer Erfolg für die Opfer und für alle Kinder heute und in Zukunft.

Weiter haben wir erreicht, dass die Medizinische Kin-
derschutzhotline, die Fachkräfte bei Verdachtsfällen rund um die Uhr berät, verstetigt und darüber hinaus die Un-abhängige Beauftragte bei der Bekämpfung digitaler se-
xueller Gewalt von der Bundeszentrale für Kinder- und 
Jugendmedienschutz, die wir vor einigen Jahren errichtet haben, unterstützt wird.
Meine Damen und Herren, nach der jüngsten Shell- 
Jugendstudie vertrauen Kinder und Jugendliche in hohem Maße weiter den Institutionen unseres Landes, mit He -
rausforderungen fertigzuwerden, die sie verunsichern. 
Dieses Vertrauen ist kostbar, und wir dürfen es niemals 
verspielen. Es ist deshalb gut, wenn die Institution Bun-destag, angeführt von den Fraktionen der parlamentari-
schen Mitte, dieses Gesetz in dieser Legislaturperiode 
noch beschließt. Ich bitte Sie sehr herzlich um Zustim-mung.
Der Antrag der AfD ist damit überflüssig.
Vielen Dank."
"
Cornelia Möhring",Die Linke,"Frau Präsidentin! Liebe Kolleginnen und Kollegen! 
Ich habe hier in den vergangenen 15 Jahren so manche Rede zum Gewaltschutz und zur Finanzierung des Hilfe -
systems halten dürfen. Heute freue ich mich, dass es für 
meine letzte Rede tatsächlich mal einen positiven Anlass 
gibt,

und zwar, dass das Gewalthilfegesetz heute auf den Weg gebracht wird.
Liebe Kolleginnen und Kollegen, es wird aber auch 
höchste Zeit. Wir haben die Zahlen gehört: 360 Frauen und Mädchen wurden allein 2023 Opfer von Femiziden, und jede dritte Frau erlebt Gewalt durch ihren Partner oder Ex.
Aber die Strukturen, die sie schützen sollen, sind chro-
nisch unterfinanziert. Nun ist zumindest der Weg frei, um von Gewalt Betroffenen einen niedrigschwelligen und 
vor allem kostenfreien Zugang zum Hilfesystem zu er-
möglichen.Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                 27582 
(A) 
(B) (C) 
(D) Leni Breymaier 

Es ist gut, dass sich der Bund an den Kosten beteiligen 
wird. Es ist gut, dass es einen Rechtsanspruch geben soll. 
Es ist gut, dass Betroffene nun nicht mehr selber zur Kasse gebeten werden sollen.
Aber, liebe Kolleginnen und Kollegen, wie auch in den 
letzten Wahlperioden tritt die Union mächtig auf die Bremse, wenn es um Frauenrechte und Opferschutz geht. 
Frau Bär, da bin ich anderer Meinung als Sie. Das ist 
nicht gedeckt durch die Istanbul-Konvention. Trans-, In -
ter- und non-binäre Menschen fallen nicht mehr in den Anwendungsbereich, weil die Union ein transfeindliches 
Narrativ stärken will,
(Hermann Gröhe [CDU/CSU]: Peinlich!)
obwohl wir alle wissen, dass Transfrauen besonders von Gewalt betroffen sind.

Frauen mit prekärem Aufenthaltsstatus und Asylbe-
werberinnen bleiben ebenso vom Zugang ausgeschlos-sen – ebenfalls ein klarer Verstoß gegen die Istanbul- 
Konvention, der viele Leben kosten wird.
Der Tabubruch am vergangenen Mittwoch und diese 
Leerstellen im Gewalthilfegesetz zeigen uns auch, dass es bei möglichen konservativen und rechten Mehrheiten sehr schlecht für Frauenrechte und Opferschutz aussehen kann. Mich erfüllt das mit großer Sorge.

Trotzdem ist das Gewalthilfegesetz ein Anfang und ein 
Teilerfolg. Das verdanken wir in erster Linie der Beharr-
lichkeit der im Hilfesystem Beschäftigten. Respekt und Hochachtung für eure Arbeit!

Liebe Kolleginnen und Kollegen, statt der üblichen 
Dankesworte – alle wissen und haben heute schon oft gehört, wie dankbar ich bin, dass ich hier arbeiten durfte – will ich am Ende meiner Rede mit einem Versprechen 
schließen, nämlich mit dem Versprechen, dass hier im 
nächsten Bundestag wieder eine starke Linksfraktion sit -
zen wird,

die sich weiterhin konsequent für Opferschutz und Men-schenrechte einsetzen wird. Ich unterstütze das künftig außerparlamentarisch; ich freue mich darauf.
Vielen Dank."
"
Sönke Rix",SPD,"Frau Präsidentin! Liebe Kolleginnen und Kollegen! 
Meine Damen und Herren! Ein besonderer Gruß, ich sage mal, nach – rund um Christine Bergmann – da oben auf die Tribüne! Das ist heute ein guter Tag für euch, 
für Sie. Wir stärken da die Strukturen und das fraktions-
übergreifend – großartig. Alles Gute für die weitere Zu-
kunft Ihrer Arbeit!

Jeden Tag gibt es zahlreiche Opfer häuslicher und se-
xualisierter Gewalt. Und jeden Tag wird uns wieder be-wusst, dass wir ihnen nicht ausreichend helfen können, dass wir nicht ausreichend Schutz zur Verfügung stellen 
können. Aber dieses Problem packen wir jetzt gemein-
sam an, fraktionsübergreifend, und das ist gut so.

Endlich, liebe Kolleginnen und Kollegen, führen wir ei-
nen Rechtsanspruch auf Hilfe und Schutz ein; das ist eine 
kleine Revolution.

2,6 Milliarden Euro stellt der Bund zur Verfügung. 
Damit leistet der Bund einen Anteil für eine Aufgabe, die eigentlich originär bei den Ländern angesiedelt wor -
den ist. Deshalb haben wir – ich sage das an diejenigen gerichtet, die dieses Gesetz unterstützen – auch noch etwas vor uns: Wir müssen natürlich auch noch bei den Ländern für Zustimmung werben, dafür sorgen, dass die -
ses Gesetz tatsächlich so umgesetzt werden kann, wie es heute im Bundestag verabschiedet wird. Mein Appell an die Länder: Gehen Sie konstruktiv mit diesem Gesetz -
entwurf um!

Dieses Gesetz ist ein Zeichen der Anerkennung der 
Opfer. Wir wissen, wie schwer sie es haben, und wollen ihnen unbedingt Hilfe und Schutz zur Verfügung stellen. Es ist aber auch eine Anerkennung derjenigen, die mit 
ihrer Arbeit Hilfe und Schutz zur Verfügung stellen und 
jahrelang gekämpft haben – uns alle hier im Parlament immer wieder treten mussten, auffordern mussten – und uns bis zum Schluss dabei unterstützt haben, diesen 
Rechtsanspruch tatsächlich einzuführen, dass wir hier 
vernünftige Strukturen haben. Deshalb mein Dank an diejenigen, die im Bereich Hilfe und Schutz für Frauen, 
die Opfer sind, tatsächlich arbeiten. Herzlichen Dank 
dafür!Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                                                                                                                                                                                27583 
(A) 
(B) (C) 
(D) Cornelia Möhring 

Mein Dank aber vor allen Dingen, dass wir bei diesem 
Gesetzentwurf eine fraktionsübergreifende Zusammen-
arbeit hatten, dass es Kompromissbereitschaft gab zwi-schen Rot-Grün und der CDU/CSU, dass man sagte: Ja, wir müssen uns auf Augenhöhe treffen, miteinander aus-
handeln, was den einen wichtig ist und was den anderen 
wichtig ist, und dann gemeinsam einen Kompromiss schließen.
Der Kompromiss ist das, was wir in der demokrati-
schen Mitte brauchen. Ich appelliere an alle demokrati-schen Kräfte links von der AfD, diese Kompromissbereit-
schaft niemals aufzugeben, sondern ständig und immer 
am Kompromiss zu arbeiten.

Mein Dank, dass das hier heute möglich ist.
Mein Dank auch, dass ich diesem Hohen Hause ange-
hören durfte. Mein Dank, dass ich in diesem demokrati-
schen Haus für die Demokratie arbeiten durfte. Ich werde 
es auch nach meiner Tätigkeit hier im Deutschen Bundes-tag tun; das ist wichtiger denn je. Es war mir eine Ehre.
Herzlichen Dank."
"
Paul Lehrieder",CDU/CSU,"Sehr geehrte Frau Präsidentin! Liebe Kolleginnen! 
Liebe Kollegen! Nachdem ich mitbekommen habe, dass 
etliche Kollegen hier heute ihre letzte Rede gehalten ha-
ben, muss auch ich mich outen. Auch für mich, liebe Frau"
"
Katja Adler",FDP,"Sehr geehrte Frau Präsidentin! Sehr geehrte Damen 
und Herren – die restlichen hier im Saal und draußen an den Bildschirmen! Werte Kolleginnen und Kollegen! Wir sprechen hier und jetzt über Kinder, die viel zu oft über -
sehen werden, über Kinder, die in Familien aufwachsen, in denen ein Elternteil oder auch beide psychisch erkrankt oder suchtkrank sind, über Kinder, die oft still leiden, 
über Kinder, die früh Verantwortung übernehmen müs -
sen, über Kinder, die kein unbeschwertes Aufwachsen 
erleben, weil Mama oder Papa psychisch krank ist, an Depressionen, Zwängen oder Ängsten leidet oder Sucht -
mittel konsumiert.
Eine psychische Erkrankung oder eine Suchterkran-
kung betrifft eben nicht nur die erkrankte Person selbst. Sie beeinflusst die ganze Familie und besonders die Kin-der, die zuallererst Schutz und Geborgenheit brauchen. 
Wenn Eltern mit gesundheitlichen Problemen kämpfen, 
kämpfen meistens auch ihre Kinder diesen Kampf, einen Kampf, den sie oft nicht gewinnen können, sofern wir als 
Gesetzgeber und Staat nicht die notwendigen Rahmenbe -
dingungen setzen."
"
Mike Moncsek",AfD,"Frau Präsidentin! Werte Kollegen! Obwohl ich nicht 
Mitglied dieses Ausschusses bin und für meinen Kolle-gen Gereon Bollmann diese Rede halte, ist es mir als dreifacher Familienvater eine Herzensangelegenheit, zu 
diesem Thema hier zu stehen.
In Deutschland leben circa 5 Millionen Kinder psy-
chisch kranker und suchtkranker Eltern. Fällt in diesen Familien nur eine Bezugsperson aus, ist das mit erheb-
lichen Belastungen für die Kinder verbunden, die deren weiteres Leben stark beeinträchtigen können. Emotionale Wärme und Zuneigung fehlen. Bei älteren Kindern sehen 
wir sogar Schuldgefühle. Häufig übernehmen sie ein 
Übermaß an Verantwortung und Aufgaben, auch für die erkrankten Eltern, und müssen dann eigene Bedürfnisse 
und sehr oft auch schulische Verpflichtungen vernach -
lässigen. Diese Familien und insbesondere diese Kinder 
bedürfen unserer ganz besonderen Fürsorge und Hilfe. 
Wir werden diesem Antrag deshalb zustimmen.

Aber das ist beileibe nicht alles, was es zu diesem 
Antrag zu sagen gibt. Ich frage mich nämlich, ob es Sinn der Politik sein kann, an den Symptomen eines 
Problems herumzuwirbeln, wie dies hier geschieht, oder ob Politik nicht in erster Linie die Aufgabe hat, die Ur -
sachen von Problemen zu erkennen und zu bekämpfen."
"
Bettina Margarethe Wiesmann",CDU/CSU,"Frau Präsidentin! Liebe Kolleginnen und Kollegen! 
Dieser Antrag aus der Mitte des Parlaments ist notwen-
dig – man kann es nicht oft genug sagen –; denn es sind einfach zu viele Familien, in denen Eltern psychisch er-
krankt oder suchtkrank sind, sodass sie ihre Elternrolle nur eingeschränkt wahrnehmen können und ihre Kinder 
darunter leiden. Meine Fraktion hat ihn deshalb von An-
fang an – es geht ja weit zurück – konstruktiv unterstützt, namentlich Paul Lehrieder, der ja auch schon gesprochen 
hat. Ich danke dir dafür. Ich danke an dieser Stelle aber 
auch den Kolleginnen der erloschenen Ampel Ulrike Bahr, Denise Loop und Katja Adler für die sehr konstruk -
tive Zusammenarbeit bei seiner weiteren Verbesserung, 
an der ich dann am Ende noch mitwirken durfte. Vielen 
herzlichen Dank.

Es gab viel Unterstützung für diesen Antrag, auch von 
Sachverständigen, von Betroffenen und Medizinern. Drei 
Punkte sind uns als Union aus der Anhörung besonders 
wichtig; deshalb will ich sie hier noch einmal nennen:"
"

Dirk Heidenblut",SPD,"Frau Präsidentin! Meine sehr geehrten Damen und 
Herren! Liebe Kolleginnen und Kollegen! „Ich werde 
laut“ – keine Sorge, das bezieht sich nicht darauf, dass 
ich jetzt laut werde, sondern das ist das Motto der COA- 
Aktionswoche. Für alle, die das nicht wissen: Sie findet 
jährlich statt, in diesem Jahr ab dem 16. Februar. Wer im Wahlkampf Zeit hat, ist herzlich aufgerufen, sich da mal 
umzugucken und auch gerne zu beteiligen. Die COA- 
Aktionswoche ist eine Aktionswoche für Kinder aus Fa -
milien mit suchtbelasteten Elternteilen. Denn nicht nur 
die Eltern leiden unter ihrer Sucht, die Kinder tun es auch.
„Ich werde laut“ ist ein bewusst gewähltes Motto; 
denn, wie die Kollegin Fester schon ausgeführt hat, die Kinder werden häufig erst viel, viel, viel zu spät laut, weil 
sie aus Angst vor Stigmatisierung, aus Angst vor dem, was mit ihren Familien passieren könnte, aus Angst da -
vor, dass vielleicht alles auseinanderbricht, aus Angst vor 
dem, was mit ihren Eltern passieren könnte, sich nicht 
trauen, laut zu werden. Deswegen will NACOA, die Or-ganisation, die für diese Kinder steht, mit der Aktions-
woche den Kindern nicht nur eine Stimme geben, son-
dern ihnen auch Mut zusprechen, laut zu werden. Deswegen finde ich es so wichtig, dass ein guter Teil 
unseres Antrages eine Entstigmatisierungskampagne ist.

Wir müssen den Kindern die Möglichkeit geben, laut 
zu werden, damit die Hilfen, die wir anbieten und auch noch ausbauen und weiterentwickeln müssen, sie über -
haupt erreichen können. Und dazu ist Entstigmatisierung 
wichtig. Lassen Sie mich an dieser Stelle einen kleinen"
"
Tino Sorge",CDU/CSU,"„Redet miteinander! Tut endlich etwas! Handelt, damit das endlich aufhört!“
Frau Präsidentin! Liebe Kolleginnen und Kollegen! Das 
waren die Worte eines Bürgers, als ich am Tag nach dem 
Terroranschlag auf dem Magdeburger Weihnachtsmarkt vor dem Blumenmeer für die ermordeten und schwerver -
letzten Opfer an der Johanniskirche in meinem Wahlkreis Magdeburg stand. Dieser flehentliche Appell bringt es auf den Punkt, was die allermeisten Menschen in meiner Heimat von uns als Politik erwarten."
"
Stephan Thomae",FDP,"Sehr geehrte Frau Präsidentin! Verehrte Kolleginnen 
und Kollegen! Meine Damen und Herren! Die Anschläge von Magdeburg und von Aschaffenburg können nieman-
den kalt lassen. An beiden Tatorten starben viele Men-
schen. Auch Kinder und Jugendliche wurden verletzt.
In Aschaffenburg war es nur dem selbstlosen Einsatz 
zweier Männer zu verdanken, dass der Täter nicht noch 
mehr Kinder töten konnte. Einer von ihnen hat vor den 
Augen seines eigenen Kindes dabei sein Leben lassen 
müssen, und ein zweiter Mann hat schwere Verletzungen erlitten. In Magdeburg haben viele Menschen sofort rich -
tig reagiert, erste Hilfe geleistet und so wahrscheinlich ebenfalls viele Menschenleben retten können. Deswegen gilt unser Dank den Helferinnen, den Helfern, der Polizei 
und den Rettungskräften.

Unser Mitgefühl gilt den Opfern und ihren Angehörigen. 
Niemand kann das unermessliche Leid, das ein solcher 
Verlust mit sich bringt, in die richtigen Worte fassen.Und wie immer bei solchen Anschlägen steht dann hier 
auch wieder die Frage im Zentrum: Hätten diese Taten verhindert werden können?
(Mike Moncsek [AfD]: Ja!)
Wenn zwei Personen – man muss es auch einfach aus-
sprechen – ausländischer Herkunft in Deutschland solche 
Morde begehen, dann hat das natürlich auch eine migra-tionspolitische Komponente, die man nicht einfach über-
gehen darf. Das heißt nicht, dass man Migration und 
Sicherheit einfach vermengen soll. Es heißt auch nicht, dass man alle Migranten, Flüchtlinge, Ausländer über einen Kamm schert, wenn ein kleiner Teil von ihnen 
Straftaten begeht. Das muss man unterscheiden und dif -
ferenzieren, und das tun wir auch.
(Canan Bayram [BÜNDNIS 90/DIE GRÜ-
NEN]: Sie schon! Herr Curio nicht!)
Aber es gibt eben auch Zusammenhänge, über die man 
sprechen muss und über die man nicht einfach schwei-
gend hinweggehen darf. Deswegen muss man sowohl migrationspolitische als auch sicherheitspolitische Dinge 
einer Betrachtung unterziehen.
Migrationspolitisch hat gerade die FDP in dieser Wahl-
periode eine Kehrtwende einleiten können. Ich kann sa-
gen: Keine Bundesregierung vorher hat so viele Gesetze 
und Maßnahmen beschlossen und ergriffen, um mehr Ordnung und Kontrolle in die Migration zu bringen.
(Dr. Daniela De Ridder [SPD]: Eben!)
Aber der Schwerpunkt liegt, je nachdem, was man bis-lang sagen kann, auf einer Komponente, auf die ich jetzt mein Augenmerk legen will, nämlich die eklatanten Pro-bleme bei der Zusammenarbeit der Sicherheitsbehörden 
in Bund und Ländern.

Nach allem, was man heute sagen kann, gab es kein 
Erkenntnisproblem. In allen Fällen waren die späteren 
Täter vorher schon behördlich und polizeilich bekannt. Das Problem lag nicht bei Ermittlungsmöglichkeiten 
oder Eingriffsbefugnissen.
(Andrea Lindholz [CDU/CSU]: Doch!)
Das hat nichts mit fehlender Vorratsdatenspeicherung, 
mit der automatischen Gesichtserkennung zu tun, son-dern damit, dass vorhandene Erkenntnisse nicht zusam-
mengeführt worden sind und nicht die richtigen Schlüsse 
daraus gezogen worden sind.

Ritualhaft schieben sich dann oft Politiker aus Bund 
und Ländern gegenseitig die Verantwortung zu. Aber mit solchen Schuldzuweisungen schummelt man sich nur an 
einer ehrlichen Fehleranalyse vorbei. Und was ist die Folge? Die Menschen haben das Gefühl, dass sie kein 
Vertrauen mehr darin haben können, dass der Staat und 
dessen Institutionen ihren Kernaufgaben nachkommen.Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                 27600 
(A) 
(B) (C) 
(D) Canan Bayram 
Das ist ein symptomatischer Befund, wie so oft: Alle 
sind zuständig, keiner ist verantwortlich. Zu viele Behör-
den auf Bundes- und Länderebene und die Kommunen 
fallen sich bei der Erfüllung ihrer Aufgaben gegenseitig 
in den Arm. Bund und Länder müssen sich deshalb unbe-
dingt Gedanken machen, wie die Sicherheitsarchitektur dieses Landes besser geordnet werden kann, wie die fö-
derale Aufgabenverteilung in Bund und Ländern besser 
wahrgenommen werden kann.
(Detlef Seif [CDU/CSU]: Das ist ein Massen-
problem!)
Meine Damen und Herren, das ist eine große Aufgabe 
für den nächsten Deutschen Bundestag – keine Aufgabe, die man einfach so mit einem Federstrich erledigen kann.
(Beatrix von Storch [AfD]: Ungefähr so Juni/ Juli, kurz vor der Sommerpause, nicht? Wir 
haben ja Zeit!)
Da muss man immer wieder nacharbeiten, immer wieder 
aus Fehlern und Erkenntnissen lernen. Diese Arbeit ist wie die Arbeit im Weinberg des Herrn: Sie endet nie. 
Da geht es immer weiter. Wir haben heute auch gesehen, 
dass es schwierige Aufgaben sind, dass die Zeit oft da -
vonläuft. Wir arbeiten auch gegen die Zeit in solchen 
Dingen.
Und oft – das ist für mich auch ein Fazit aus dieser 
Sitzungswoche und aus dem heutigen Tag – prallen da gesinnungsethische Überlegungen und verantwortungs-
ethische Überlegungen, um es mit den Worten von Max Weber zu sagen, zusammen. Manchmal kann es Gründe geben, bei Gewissensentscheidungen abzuwägen und zu 
überlegen, was die dahinter liegenden tieferen Verant-
wortungsaufgaben sind. Nicht immer sind diese Auf-gaben sehr leicht zu lösen."
